path	loc	imports_in	imports_out	status	has_test	last_sha
src/intelligence/accuracy-boost.ts	873	2	4	WIRED	N	cb3d661
src/intelligence/adaptive-prompts.ts	327	1	0	WIRED	Y	993d661
src/intelligence/adversarial-test-generator.ts	338	0	5	ORPHAN	Y	5cba72b
src/intelligence/ai-time-machine.ts	348	2	2	WIRED	Y	993d661
src/intelligence/ambient-awareness.ts	430	3	2	WIRED	N	cb3d661
src/intelligence/amplifier.ts	349	1	0	WIRED	N	993d661
src/intelligence/answer-normalizer.ts	269	0	0	ORPHAN	Y	78793c0
src/intelligence/auto-enhance.ts	135	2	0	WIRED	N	993d661
src/intelligence/auto-mode-detector.ts	224	2	1	WIRED	N	993d661
src/intelligence/auto-reviewer.ts	620	2	2	WIRED	N	993d661
src/intelligence/auto-verify.ts	203	2	4	WIRED	N	993d661
src/intelligence/away-summary.ts	137	3	1	WIRED	N	993d661
src/intelligence/bash-classifier.ts	198	1	0	WIRED	N	993d661
src/intelligence/benchmark-harness.ts	526	3	6	WIRED	Y	8b766a5
src/intelligence/benchmark-runners/aider-polyglot.ts	347	1	5	WIRED	N	8b766a5
src/intelligence/benchmark-runners/code-eval.ts	359	1	5	WIRED	N	f949429
src/intelligence/benchmark-runners/terminal-bench.ts	323	1	5	WIRED	N	36ce2ba
src/intelligence/budget-enforcer.ts	191	0	0	ORPHAN	Y	603fe15
src/intelligence/bugbot.ts	424	2	0	WIRED	N	993d661
src/intelligence/chain-of-verification.ts	139	0	0	ORPHAN	Y	ac92dfe
src/intelligence/codebase-health.ts	408	6	3	WIRED	N	993d661
src/intelligence/codemaps.ts	483	2	2	WIRED	N	cb3d661
src/intelligence/confidence-calibrator.ts	220	0	0	ORPHAN	Y	8267f13
src/intelligence/context-relevance.ts	448	3	0	WIRED	N	993d661
src/intelligence/cross-device-context.ts	152	3	0	WIRED	N	993d661
src/intelligence/deep-research.ts	616	4	0	WIRED	Y	993d661
src/intelligence/domain-skill-router.ts	174	1	0	WIRED	N	993d661
src/intelligence/error-pattern-learner.ts	271	2	0	WIRED	Y	5d31766
